hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id
5607646,2020-06-22,dog,crust from skin,skin,GN,acinetobacter,2020-06-24,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,R,R,,R,R,R,,,,,,,R,,R,3226
6305671,2020-05-27,dog,urine,urinary tract,GN,pseudomonas,2020-06-01,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,R,,R,R,R,,,,,,,,,,3227
6306248,2020-06-05,dog,urine,urinary tract,GN,enterobacter,2020-06-12,test,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,S,R,,R,R,S,S,S,S,S,S,,S,S,S,S,S,,,S,,S,,S,3228
6306672,2020-06-10,dog,urine,urinary tract,GN,morganella,2020-06-17,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,S,R,R,R,R,,,S,I,R,R,,R,I,S,S,R,,,I,,R,,R,3229
6305589,2020-06-04,dog,nasal discharge,nasal cavity,GN,pseudomonas,2020-06-10,test,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,S,,,,,,,,,,S,,S,S,S,,,,,,,,,,3230
5708985,2020-06-05,dog,urine,urinary tract,GN,escherichia,2020-06-10,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,R,R,R,R,R,R,R,I,S,R,+,R,S,R,S,I,,,R,,R,,R,3231
6305648,2020-05-29,cat,urine,urinary tract,GN,enterobacter,2020-06-05,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,S,R,,R,R,R,R,R,R,R,R,,S,S,R,S,S,,,R,,R,,R,3232
6305456,2020-06-17,cat,urine,urinary tract,GN,pseudomonas,2020-06-24,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,S,,,,,,,,,,I,,S,S,S,,,,,,,,,,3233
6307281,2020-06-23,cat,urine,urinary tract,GN,escherichia,2020-06-29,test,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,S,R,R,R,R,S,S,S,S,R,R,-,R,S,R,S,S,,,R,,R,,R,3234
6306181,2020-06-02,cat,urine,urinary tract,GN,acinetobacter,2020-06-10,test,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,S,R,,S,S,R,,,,,,,S,,S,3235
